Model,Scorer,n,Vanilla,Reframing,Delta,Cohen_d,Wilcoxon_p,Sig
Llama 70B,Self,50,2.84,3.99,+1.15,1.29,9.22e-09,***
Llama 70B,Claude Sonnet,50,1.87,3.14,+1.27,1.57,1.76e-09,***
Llama 70B,GPT-4.1,50,2.53,3.74,+1.21,1.44,1.71e-09,***
Qwen 32B,Self,50,2.86,4.00,+1.14,1.56,1.15e-09,***
Qwen 32B,Claude Sonnet,50,1.89,3.13,+1.24,1.54,2.12e-09,***
Qwen 32B,GPT-4.1,50,2.60,3.72,+1.13,1.37,4.11e-09,***
Scout 17B,Self,50,2.82,3.98,+1.16,1.42,6.04e-09,***
Scout 17B,Claude Sonnet,50,1.85,3.16,+1.31,1.63,2.16e-09,***
Scout 17B,GPT-4.1,50,2.56,3.71,+1.15,1.35,7.35e-09,***
